code_etb,etablissement,wilaya,is_national,wilaya_confidence,code_fil,filiere,min1,min2,min3,annee,source_pdf,source_page
C43,C. UNIV. AFLOU,,False,A_VERIFIER,C01LAL02,INFORMATIQUE,10.6,10.02,,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,D00LAL04,SCIENCES DE LA NATURE ET DE LA VIE,10.0,10.38,,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.0,10.03,10.46,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,F03LPL02,MANAGEMENT ELECTRONIQUE DES AFFAIRES,10.59,,,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,G02LAL02,DROIT,10.0,10.3,,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,H01LAL02,LANGUE FRANCAISE,11.77,11.41,11.6,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,H06LAL03,LANGUE ANGLAISE,11.09,11.17,11.03,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,I04LAL01,HISTOIRE ET BIG DATA,10.18,,,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,I17LAL02,SCIENCES HUMAINES,10.0,10.01,,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,I19LAL02,SCIENCES SOCIALES,10.0,10.24,,2025,moy_min_bac2025.pdf,3
C43,C. UNIV. AFLOU,,False,A_VERIFIER,L00LAL01,LANGUE ET LITTERATURE ARABES,10.0,10.15,,2025,moy_min_bac2025.pdf,3
E44,C . UNIV BARIKA,,False,A_VERIFIER,A00LAL04,SCIENCES ET TECHNOLOGIES,10.0,,,2025,moy_min_bac2025.pdf,7
E44,C . UNIV BARIKA,,False,A_VERIFIER,C01LAL02,INFORMATIQUE,11.16,11.55,,2025,moy_min_bac2025.pdf,7
E44,C . UNIV BARIKA,,False,A_VERIFIER,C02LAL02,MATHEMATIQUES,11.42,10.0,,2025,moy_min_bac2025.pdf,7
E44,C . UNIV BARIKA,,False,A_VERIFIER,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.05,10.0,10.0,2025,moy_min_bac2025.pdf,7
E44,C . UNIV BARIKA,,False,A_VERIFIER,G02LAL02,DROIT,10.0,10.0,10.0,2025,moy_min_bac2025.pdf,7
E44,C . UNIV BARIKA,,False,A_VERIFIER,H01LAL03,LANGUE FRANCAISE,11.08,,11.01,2025,moy_min_bac2025.pdf,7
E44,C . UNIV BARIKA,,False,A_VERIFIER,H06LAL03,LANGUE ANGLAISE,11.0,11.06,11.0,2025,moy_min_bac2025.pdf,7
E44,C . UNIV BARIKA,,False,A_VERIFIER,I17LAL02,SCIENCES HUMAINES,10.07,10.0,,2025,moy_min_bac2025.pdf,7
E44,C . UNIV BARIKA,,False,A_VERIFIER,I19LAL03,SCIENCES SOCIALES,10.0,10.07,,2025,moy_min_bac2025.pdf,7
E44,C . UNIV BARIKA,,False,A_VERIFIER,L00LAL03,LANGUE ET LITTERATURE ARABES,10.0,10.04,,2025,moy_min_bac2025.pdf,7
U47,C. UNIV MAGHNIA,,False,A_VERIFIER,A00LAL04,SCIENCES ET TECHNOLOGIES,10.01,,,2025,moy_min_bac2025.pdf,17
U47,C. UNIV MAGHNIA,,False,A_VERIFIER,A05TCL01,GENIE CIVIL,10.69,,,2025,moy_min_bac2025.pdf,18
U47,C. UNIV MAGHNIA,,False,A_VERIFIER,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.0,10.0,10.06,2025,moy_min_bac2025.pdf,18
U47,C. UNIV MAGHNIA,,False,A_VERIFIER,G02LAL03,DROIT,10.01,10.0,10.19,2025,moy_min_bac2025.pdf,18
U47,C. UNIV MAGHNIA,,False,A_VERIFIER,H06LAL03,LANGUE ANGLAISE,11.79,13.05,13.51,2025,moy_min_bac2025.pdf,18
